WKT,Nombre,Descripción
"POINT (-100.9787982 25.4345752)",Punto 1,
"POINT (-100.9671915 25.4373511)",Punto 2,
"POINT (-100.9689635 25.4410061)",Punto 3,
"POINT (-100.9674987 25.4421385)",Punto 4,
"POINT (-100.9686675 25.4434068)",Punto 6,
"POINT (-100.9665507 25.4450351)",Punto 7,
"POINT (-100.9674759 25.4461238)",Punto 8,
"POINT (-100.9632137 25.4494731)",Punto 9,
"POINT (-100.9632942 25.4495881)",Punto 10,
"POINT (-100.9675993 25.4461711)",Punto 11,
"POINT (-100.9703961 25.4467659)",Punto 12,
"POINT (-100.9710416 25.4488192)",Punto 13,
"POINT (-100.963684 25.4612335)",Punto 14,
"POINT (-100.9637954 25.4612723)",Punto 15,
"POINT (-100.9710357 25.4491645)",Punto 16,
"POINT (-100.9777811 25.4710395)",Punto 17,
"POINT (-100.9778991 25.4710904)",Punto 18,
"POINT (-100.9713874 25.4486917)",Punto 19,
"POINT (-100.9707814 25.4491003)",Punto 19,
"POINT (-100.9702283 25.4466229)",Punto 21,
"POINT (-100.9674547 25.4461784)",Punto 22,
"POINT (-100.9632062 25.4494703)",Punto 23,
"POINT (-100.9633003 25.4495777)",Punto 24,
"POINT (-100.9675793 25.4461766)",Punto 25,
"POINT (-100.9675418 25.4460428)",Punto 26,
"POINT (-100.9659161 25.4443483)",Punto 27,
"POINT (-100.9679477 25.442641)",Punto 28,
"POINT (-100.9649579 25.4393959)",Punto 29,
"POINT (-100.9854041 25.4359692)",Punto 30,
"POINT (-100.9932836 25.4213159)",Punto 31,
"POINT (-101.0062665 25.4274496)",Punto 32,
"POINT (-101.0024621 25.434765)",Punto 33,
"POINT (-100.9976642 25.4506646)",Punto 34,
"POINT (-101.0164417 25.4565648)",Punto 35,
"POINT (-101.0164792 25.4567198)",Punto 36,
"POINT (-101.0154599 25.456945)",Punto 37,
"POINT (-101.0198623 25.461973)",Punto 38,
"POINT (-101.0168563 25.4625088)",Punto 39,
"POINT (-101.0180399 25.4668621)",Punto 40,
"POINT (-101.0156541 25.4702139)",Punto 41,
"POINT (-101.0181464 25.4669002)",Punto 42,
"POINT (-101.0197815 25.4662577)",Punto 43,
"POINT (-101.020114 25.466587)",Punto 44,
"POINT (-101.0225224 25.4692747)",Punto 45,
"POINT (-101.0234157 25.4687472)",Punto 46,
"POINT (-101.0228608 25.4665129)",Punto 47,
"POINT (-101.0230892 25.4689865)",Punto 48,
"POINT (-101.0212496 25.4697763)",Punto 49,
"POINT (-101.0179431 25.467068)",Punto 50,
"POINT (-101.0180574 25.4668355)",Punto 51,
"POINT (-101.0169883 25.4624421)",Punto 52,
"POINT (-101.0199432 25.4618872)",Punto 53,
"POINT (-101.0166588 25.4583934)",Punto 54,
"POINT (-101.017561 25.4576515)",Punto 55,
"POINT (-101.0167658 25.4565123)",Punto 56,
"POINT (-101.018412 25.4562388)",Punto 57,
"POINT (-101.0183772 25.4560984)",Punto 58,
"POINT (-100.997548 25.450182)",Punto 60,
"POINT (-101.0044563 25.4345969)",Punto 61,
"POINT (-101.0017746 25.4331095)",Punto 62,
"POINT (-101.0046573 25.4278684)",Punto 63,
"POINT (-101.0012138 25.4262499)",Punto 64,
"POINT (-101.0022898 25.4241412)",Punto 65,
"POINT (-100.9995721 25.4230688)",Punto 66,
"POINT (-100.9974785 25.4257252)",Punto 67,
"POINT (-100.9833795 25.4189631)",Punto 68,
"POINT (-100.983391 25.418751)",Punto 69,
"POINT (-100.982025 25.418388)",Punto 70,
"POINT (-100.9817305 25.4186981)",Punto 71,
"POINT (-100.9812876 25.4187311)",Punto 72,
"POINT (-100.977898 25.4175648)",Punto 73,
"POINT (-100.9759078 25.4218933)",Punto 74,
"POINT (-100.9716573 25.4200589)",Punto 75,
"POINT (-100.9759491 25.4157034)",Punto 76,
"POINT (-100.9754396 25.4154567)",Punto 77,
"POINT (-100.9725632 25.4344332)",Punto 78,
"POINT (-100.9787779 25.4346652)",Punto 79,